title,show_id,type,release_year,primary_country,genres_str,rating,date_added,date_added_year,date_added_month,director_primary,cast_primary,metadata
Bangkok Breaking,s12,Tv Show,2021,Unknown,Crime TV Shows|International TV Shows|TV Action & Adventure,TV-MA,2021-09-23,2021,9,Kongkiat Komesiri,Sukollawat Kanarot,"Bangkok Breaking | Struggling to earn a living in Bangkok, a man joins an emergency rescue service and realizes he must unravel a citywide conspiracy. | Crime TV Shows|International TV Shows|TV Action & Adventure | Kongkiat Komesiri | Sukollawat Kanarot | Unknown"
Je Suis Karl,s13,Movie,2021,Germany,Dramas|International Movies,TV-MA,2021-09-23,2021,9,Christian Schwochow,Luna Wedler,"Je Suis Karl | After most of her family is murdered in a terrorist bombing, a young woman is unknowingly lured into joining the very group that killed them. | Dramas|International Movies | Christian Schwochow | Luna Wedler | Germany"
Confessions of an Invisible Girl,s14,Movie,2021,Unknown,Children & Family Movies|Comedies,TV-PG,2021-09-22,2021,9,Bruno Garotti,Klara Castanho,"Confessions of an Invisible Girl | When the clever but socially-awkward Tet�� joins a new school, she'll do anything to fit in. But the queen bee among her classmates has other ideas. | Children & Family Movies|Comedies | Bruno Garotti | Klara Castanho | Unknown"
Crime Stories: India Detectives,s15,Tv Show,2021,Unknown,British TV Shows|Crime TV Shows|Docuseries,TV-MA,2021-09-22,2021,9,,,Crime Stories: India Detectives | Cameras following Bengaluru police on the job offer a rare glimpse into the complex and challenging inner workings of four major crime investigations. | British TV Shows|Crime TV Shows|Docuseries | Unknown
Dear White People,s16,Tv Show,2021,United States,TV Comedies|TV Dramas,TV-MA,2021-09-22,2021,9,,Logan Browning,"Dear White People | Students of color navigate the daily slights and slippery politics of life at an Ivy League college that's not nearly as ""post-racial"" as it thinks. | TV Comedies|TV Dramas | Logan Browning | United States"
Europe's Most Dangerous Man: Otto Skorzeny in Spain,s17,Movie,2020,Unknown,Documentaries|International Movies,TV-MA,2021-09-22,2021,9,Pedro de Echave Garc��a,,"Europe's Most Dangerous Man: Otto Skorzeny in Spain | Declassified documents reveal the post-WWII life of Otto Skorzeny, a close Hitler ally who escaped to Spain and became an adviser to world presidents. | Documentaries|International Movies | Pedro de Echave Garc��a | Unknown"
Falsa identidad,s18,Tv Show,2020,Mexico,Crime TV Shows|Spanish-Language TV Shows|TV Dramas,TV-MA,2021-09-22,2021,9,,Luis Ernesto Franco,Falsa identidad | Strangers Diego and Isabel flee their home in Mexico and pretend to be a married couple to escape his drug-dealing enemies and her abusive husband. | Crime TV Shows|Spanish-Language TV Shows|TV Dramas | Luis Ernesto Franco | Mexico
Intrusion,s19,Movie,2021,Unknown,Thrillers,TV-14,2021-09-22,2021,9,Adam Salky,Freida Pinto,"Intrusion | After a deadly home invasion at a couple���s new dream house, the traumatized wife searches for answers ��� and learns the real danger is just beginning. | Thrillers | Adam Salky | Freida Pinto | Unknown"
Jaguar,s20,Tv Show,2021,Unknown,International TV Shows|Spanish-Language TV Shows|TV Action & Adventure,TV-MA,2021-09-22,2021,9,,Blanca Su��rez,"Jaguar | In the 1960s, a Holocaust survivor joins a group of self-trained spies who seek justice against Nazis fleeing to Spain to hide after WWII. | International TV Shows|Spanish-Language TV Shows|TV Action & Adventure | Blanca Su��rez | Unknown"
Monsters Inside: The 24 Faces of Billy Milligan,s21,Tv Show,2021,Unknown,Crime TV Shows|Docuseries|International TV Shows,TV-14,2021-09-22,2021,9,Olivier Megaton,,"Monsters Inside: The 24 Faces of Billy Milligan | In the late 1970s, an accused serial rapist claims multiple personalities control his behavior, setting off a legal odyssey that captivates America. | Crime TV Shows|Docuseries|International TV Shows | Olivier Megaton | Unknown"
Resurrection: Ertugrul,s22,Tv Show,2018,Turkey,International TV Shows|TV Action & Adventure|TV Dramas,TV-14,2021-09-22,2021,9,,Engin Altan D��zyatan,"Resurrection: Ertugrul | When a good deed unwittingly endangers his clan, a 13th-century Turkish warrior agrees to fight a sultan's enemies in exchange for new tribal land. | International TV Shows|TV Action & Adventure|TV Dramas | Engin Altan D��zyatan | Turkey"
Avvai Shanmughi,s23,Movie,1996,Unknown,Comedies|International Movies,TV-PG,2021-09-21,2021,9,K.S. Ravikumar,Kamal Hassan,"Avvai Shanmughi | Newly divorced and denied visitation rights with his daughter, a doting father disguises himself as a gray-haired nanny in order to spend time with her. | Comedies|International Movies | K.S. Ravikumar | Kamal Hassan | Unknown"
Go! Go! Cory Carson: Chrissy Takes the Wheel,s24,Movie,2021,Unknown,Children & Family Movies,TV-Y,2021-09-21,2021,9,Alex Woo,Maisie Benson,"Go! Go! Cory Carson: Chrissy Takes the Wheel | From arcade games to sled days and hiccup cures, Cory Carson���s curious little sister Chrissy speeds off on her own for fun and adventure all over town! | Children & Family Movies | Alex Woo | Maisie Benson | Unknown"
Jeans,s25,Movie,1998,India,Comedies|International Movies|Romantic Movies,TV-14,2021-09-21,2021,9,S. Shankar,Prashanth,"Jeans | When the father of the man she loves insists that his twin sons marry twin sisters, a woman creates an alter ego that might be a bit too convincing. | Comedies|International Movies|Romantic Movies | S. Shankar | Prashanth | India"
Love on the Spectrum,s26,Tv Show,2021,Australia,Docuseries|International TV Shows|Reality TV,TV-14,2021-09-21,2021,9,,Brooke Satchwell,"Love on the Spectrum | Finding love can be hard for anyone. For young adults on the autism spectrum, exploring the unpredictable world of dating is even more complicated. | Docuseries|International TV Shows|Reality TV | Brooke Satchwell | Australia"
Minsara Kanavu,s27,Movie,1997,Unknown,Comedies|International Movies|Music & Musicals,TV-PG,2021-09-21,2021,9,Rajiv Menon,Arvind Swamy,Minsara Kanavu | A tangled love triangle ensues when a man falls for a woman studying to become a nun ��� and she falls for the friend he enlists to help him pursue her. | Comedies|International Movies|Music & Musicals | Rajiv Menon | Arvind Swamy | Unknown
Grown Ups,s28,Movie,2010,United States,Comedies,PG-13,2021-09-20,2021,9,Dennis Dugan,Adam Sandler,"Grown Ups | Mourning the loss of their beloved junior high basketball coach, five middle-aged pals reunite at a lake house and rediscover the joys of being a kid. | Comedies | Dennis Dugan | Adam Sandler | United States"
Dark Skies,s29,Movie,2013,United States,Horror Movies|Sci-Fi & Fantasy,PG-13,2021-09-19,2021,9,Scott Stewart,Keri Russell,"Dark Skies | A family���s idyllic suburban life shatters when an alien force invades their home, and as they struggle to convince others of the deadly threat. | Horror Movies|Sci-Fi & Fantasy | Scott Stewart | Keri Russell | United States"
Paranoia,s30,Movie,2013,United States,Thrillers,PG-13,2021-09-19,2021,9,Robert Luketic,Liam Hemsworth,"Paranoia | Blackmailed by his company's CEO, a low-level employee finds himself forced to spy on the boss's rival and former mentor. | Thrillers | Robert Luketic | Liam Hemsworth | United States"
Ankahi Kahaniya,s31,Movie,2021,Unknown,Dramas|Independent Movies|International Movies,TV-14,2021-09-17,2021,9,Ashwiny Iyer Tiwari,Abhishek Banerjee,"Ankahi Kahaniya | As big city life buzzes around them, lonely souls discover surprising sources of connection and companionship in three tales of love, loss and longing. | Dramas|Independent Movies|International Movies | Ashwiny Iyer Tiwari | Abhishek Banerjee | Unknown"
Chicago Party Aunt,s32,Tv Show,2021,Unknown,TV Comedies,TV-MA,2021-09-17,2021,9,,Lauren Ash,Chicago Party Aunt | Chicago Party Aunt Diane is an idolized troublemaker with a talent for avoiding adulthood ��� and a soft spot for her soul-searching nephew. | TV Comedies | Lauren Ash | Unknown
Sex Education,s33,Tv Show,2020,United Kingdom,British TV Shows|International TV Shows|TV Comedies,TV-MA,2021-09-17,2021,9,,Asa Butterfield,"Sex Education | Insecure Otis has all the answers when it comes to sex advice, thanks to his therapist mom. So rebel Maeve proposes a school sex-therapy clinic. | British TV Shows|International TV Shows|TV Comedies | Asa Butterfield | United Kingdom"
Squid Game,s34,Tv Show,2021,Unknown,International TV Shows|TV Dramas|TV Thrillers,TV-MA,2021-09-17,2021,9,,Lee Jung-jae,"Squid Game | Hundreds of cash-strapped players accept a strange invitation to compete in children's games. Inside, a tempting prize awaits ��� with deadly high stakes. | International TV Shows|TV Dramas|TV Thrillers | Lee Jung-jae | Unknown"
Tayo and Little Wizards,s35,Tv Show,2020,Unknown,Kids' TV,TV-Y7,2021-09-17,2021,9,,Dami Lee,Tayo and Little Wizards | Tayo speeds into an adventure when his friends get kidnapped by evil magicians invading their city in search of a magical gemstone. | Kids' TV | Dami Lee | Unknown
The Father Who Moves Mountains,s36,Movie,2021,Unknown,Dramas|International Movies|Thrillers,TV-MA,2021-09-17,2021,9,Daniel Sandu,Adrian Titieni,"The Father Who Moves Mountains | When his son goes missing during a snowy hike in the mountains, a retired intelligence officer will stop at nothing ��� and risk everything ��� to find him. | Dramas|International Movies|Thrillers | Daniel Sandu | Adrian Titieni | Unknown"
The Stronghold,s37,Movie,2021,Unknown,Action & Adventure|Dramas|International Movies,TV-MA,2021-09-17,2021,9,C��dric Jimenez,Gilles Lellouche,"The Stronghold | Tired of the small-time grind, three Marseille cops get a chance to bust a major drug network. But lines blur when a key informant makes a big ask. | Action & Adventure|Dramas|International Movies | C��dric Jimenez | Gilles Lellouche | Unknown"
Angry Birds,s38,Tv Show,2018,Finland,Kids' TV|TV Comedies,TV-Y7,2021-09-16,2021,9,,Antti P����kk��nen,"Angry Birds | Birds Red, Chuck and their feathered friends have lots of adventures while guarding eggs in their nest that pesky pigs keep trying to steal. | Kids' TV|TV Comedies | Antti P����kk��nen | Finland"
Birth of the Dragon,s39,Movie,2017,China,Action & Adventure|Dramas,PG-13,2021-09-16,2021,9,George Nolfi,Billy Magnussen,"Birth of the Dragon | A young Bruce Lee angers kung fu traditionalists by teaching outsiders, leading to a showdown with a Shaolin master in this film based on real events. | Action & Adventure|Dramas | George Nolfi | Billy Magnussen | China"
Chhota Bheem,s40,Tv Show,2021,India,Kids' TV,TV-Y7,2021-09-16,2021,9,,Vatsal Dubey,"Chhota Bheem | A brave, energetic little boy with superhuman powers leads his friends on exciting adventures to guard their fellow Dholakpur villagers from evil. | Kids' TV | Vatsal Dubey | India"
He-Man and the Masters of the Universe,s41,Tv Show,2021,United States,Kids' TV|TV Sci-Fi & Fantasy,TV-Y7,2021-09-16,2021,9,,Yuri Lowenthal,He-Man and the Masters of the Universe | Mighty teen Adam and his heroic squad of misfits discover the legendary power of Grayskull ��� and their destiny to defend Eternia from sinister Skeletor. | Kids' TV|TV Sci-Fi & Fantasy | Yuri Lowenthal | United States
Jaws,s42,Movie,1975,United States,Action & Adventure|Classic Movies|Dramas,PG,2021-09-16,2021,9,Steven Spielberg,Roy Scheider,"Jaws | When an insatiable great white shark terrorizes Amity Island, a police chief, an oceanographer and a grizzled shark hunter seek to destroy the beast. | Action & Adventure|Classic Movies|Dramas | Steven Spielberg | Roy Scheider | United States"
Jaws 2,s43,Movie,1978,United States,Dramas|Horror Movies|Thrillers,PG,2021-09-16,2021,9,Jeannot Szwarc,Roy Scheider,"Jaws 2 | Four years after the last deadly shark attacks, police chief Martin Brody fights to protect Amity Island from another killer great white. | Dramas|Horror Movies|Thrillers | Jeannot Szwarc | Roy Scheider | United States"
Jaws 3,s44,Movie,1983,United States,Action & Adventure|Horror Movies|Thrillers,PG,2021-09-16,2021,9,Joe Alves,Dennis Quaid,"Jaws 3 | After the staff of a marine theme park try to capture a young great white shark, they discover its mother has invaded the enclosure and is out for blood. | Action & Adventure|Horror Movies|Thrillers | Joe Alves | Dennis Quaid | United States"
Jaws: The Revenge,s45,Movie,1987,United States,Action & Adventure|Horror Movies|Thrillers,PG-13,2021-09-16,2021,9,Joseph Sargent,Lorraine Gary,"Jaws: The Revenge | After another deadly shark attack, Ellen Brody has had enough of Amity Island and moves to the Caribbean ��� but a great white shark follows her there. | Action & Adventure|Horror Movies|Thrillers | Joseph Sargent | Lorraine Gary | United States"
My Heroes Were Cowboys,s46,Movie,2021,Unknown,Documentaries,PG,2021-09-16,2021,9,Tyler Greco,,"My Heroes Were Cowboys | Robin Wiltshire's painful childhood was rescued by Westerns. Now he lives on the frontier of his dreams, training the horses he loves for the big screen. | Documentaries | Tyler Greco | Unknown"
Safe House,s47,Movie,2012,South Africa,Action & Adventure,R,2021-09-16,2021,9,Daniel Espinosa,Denzel Washington,Safe House | Young CIA operative Matt Weston must get a dangerous criminal out of an agency safe house that's come under attack and get him to a securer location. | Action & Adventure | Daniel Espinosa | Denzel Washington | South Africa
The Smart Money Woman,s48,Tv Show,2020,Unknown,International TV Shows|Romantic TV Shows|TV Comedies,TV-MA,2021-09-16,2021,9,Bunmi Ajakaiye,Osas Ighodaro,"The Smart Money Woman | Five glamorous millennials strive for success as they juggle careers, finances, love and friendships. Based on Arese Ugwu's 2016 best-selling novel. | International TV Shows|Romantic TV Shows|TV Comedies | Bunmi Ajakaiye | Osas Ighodaro | Unknown"
Training Day,s49,Movie,2001,United States,Dramas|Thrillers,R,2021-09-16,2021,9,Antoine Fuqua,Denzel Washington,Training Day | A rookie cop with one day to prove himself to a veteran LAPD narcotics officer receives a crash course in his mentor's questionable brand of justice. | Dramas|Thrillers | Antoine Fuqua | Denzel Washington | United States
Castle and Castle,s50,Tv Show,2021,Nigeria,International TV Shows|TV Dramas,TV-MA,2021-09-15,2021,9,,Richard Mofe-Damijo,"Castle and Castle | A pair of high-powered, successful lawyers find themselves defending opposite interests of the justice system, causing a strain on their happy marriage. | International TV Shows|TV Dramas | Richard Mofe-Damijo | Nigeria"
Dharmakshetra,s51,Tv Show,2014,India,International TV Shows|TV Dramas|TV Sci-Fi & Fantasy,TV-PG,2021-09-15,2021,9,,Kashmira Irani,"Dharmakshetra | After the ancient Great War, the god Chitragupta oversees a trial to determine who were the battle's true heroes and villains. | International TV Shows|TV Dramas|TV Sci-Fi & Fantasy | Kashmira Irani | India"
InuYasha the Movie 2: The Castle Beyond the Looking Glass,s52,Movie,2002,Japan,Action & Adventure|Anime Features|International Movies,TV-14,2021-09-15,2021,9,Toshiya Shinohara,Kappei Yamaguchi,"InuYasha the Movie 2: The Castle Beyond the Looking Glass | With their biggest foe seemingly defeated, InuYasha and his friends return to everyday life. But the peace is soon shattered by an emerging new enemy. | Action & Adventure|Anime Features|International Movies | Toshiya Shinohara | Kappei Yamaguchi | Japan"
InuYasha the Movie 3: Swords of an Honorable Ruler,s53,Movie,2003,Japan,Action & Adventure|Anime Features|International Movies,TV-14,2021-09-15,2021,9,Toshiya Shinohara,Kappei Yamaguchi,InuYasha the Movie 3: Swords of an Honorable Ruler | The Great Dog Demon beaqueathed one of the Three Swords of the Fang to each of his two sons. Now the evil power of the third sword has been awakened. | Action & Adventure|Anime Features|International Movies | Toshiya Shinohara | Kappei Yamaguchi | Japan
InuYasha the Movie 4: Fire on the Mystic Island,s54,Movie,2004,Japan,Action & Adventure|Anime Features|International Movies,TV-PG,2021-09-15,2021,9,Toshiya Shinohara,Kappei Yamaguchi,"InuYasha the Movie 4: Fire on the Mystic Island | Ai, a young half-demon who has escaped from Horai Island to try to help her people, returns with potential saviors InuYasha, Sesshomaru and Kikyo. | Action & Adventure|Anime Features|International Movies | Toshiya Shinohara | Kappei Yamaguchi | Japan"
InuYasha the Movie: Affections Touching Across Time,s55,Movie,2001,Japan,Action & Adventure|Anime Features|International Movies,TV-PG,2021-09-15,2021,9,Toshiya Shinohara,Kappei Yamaguchi,"InuYasha the Movie: Affections Touching Across Time | A powerful demon has been sealed away for 200 years. But when the demon's son is awakened, the fate of the world is in jeopardy. | Action & Adventure|Anime Features|International Movies | Toshiya Shinohara | Kappei Yamaguchi | Japan"
Nailed It,s56,Tv Show,2021,United States,Reality TV,TV-PG,2021-09-15,2021,9,,Nicole Byer,"Nailed It | Home bakers with a terrible track record take a crack at re-creating edible masterpieces for a $10,000 prize. It's part reality contest, part hot mess. | Reality TV | Nicole Byer | United States"
Naruto Shippuden the Movie: Blood Prison,s57,Movie,2011,Japan,Action & Adventure|Anime Features|International Movies,TV-14,2021-09-15,2021,9,Masahiko Murata,Junko Takeuchi,"Naruto Shippuden the Movie: Blood Prison | Mistakenly accused of an attack on the Fourth Raikage, ninja Naruto is imprisoned in the impenetrable Hozuki Castle and his powers are sealed. | Action & Adventure|Anime Features|International Movies | Masahiko Murata | Junko Takeuchi | Japan"
Naruto Shipp��den the Movie: Bonds,s58,Movie,2008,Japan,Action & Adventure|Anime Features|International Movies,TV-PG,2021-09-15,2021,9,Hajime Kamegaki,Junko Takeuchi,"Naruto Shipp��den the Movie: Bonds | When strange ninjas ambush the village of Konohagakure, it's up to adolescent ninja Naruto and his long-missing pal, Sasuke, to save the planet. | Action & Adventure|Anime Features|International Movies | Hajime Kamegaki | Junko Takeuchi | Japan"
Naruto Shipp��den the Movie: The Will of Fire,s59,Movie,2009,Japan,Action & Adventure|Anime Features|International Movies,TV-PG,2021-09-15,2021,9,Masahiko Murata,Junko Takeuchi,"Naruto Shipp��den the Movie: The Will of Fire | When four out of five ninja villages are destroyed, the leader of the one spared tries to find the true culprit and protect his land. | Action & Adventure|Anime Features|International Movies | Masahiko Murata | Junko Takeuchi | Japan"
Naruto Shippuden: The Movie,s60,Movie,2007,Japan,Action & Adventure|Anime Features|International Movies,TV-PG,2021-09-15,2021,9,Hajime Kamegaki,Junko Takeuchi,"Naruto Shippuden: The Movie | The adventures of adolescent ninja Naruto Uzumaki continue as he's tasked with protecting a priestess from a demon ��� but to do so, he must die. | Action & Adventure|Anime Features|International Movies | Hajime Kamegaki | Junko Takeuchi | Japan"
Naruto Shippuden: The Movie: The Lost Tower,s61,Movie,2010,Japan,Action & Adventure|Anime Features|International Movies,TV-14,2021-09-15,2021,9,Masahiko Murata,Junko Takeuchi,"Naruto Shippuden: The Movie: The Lost Tower | When Naruto is sent to recover a missing nin, the rogue manages to send him 20 years into the past, where he unites with his father to battle evil. | Action & Adventure|Anime Features|International Movies | Masahiko Murata | Junko Takeuchi | Japan"
Naruto the Movie 2: Legend of the Stone of Gelel,s62,Movie,2005,Japan,Action & Adventure|Anime Features|International Movies,TV-PG,2021-09-15,2021,9,Hirotsugu Kawasaki,Junko Takeuchi,"Naruto the Movie 2: Legend of the Stone of Gelel | While on a mission to return a missing pet, Naruto and two fellow ninjas are ambushed by brutal knights led by the enigmatic Temujin. | Action & Adventure|Anime Features|International Movies | Hirotsugu Kawasaki | Junko Takeuchi | Japan"
Naruto the Movie 3: Guardians of the Crescent Moon Kingdom,s63,Movie,2006,Japan,Action & Adventure|Anime Features|International Movies,TV-PG,2021-09-15,2021,9,Toshiyuki Tsuru,Junko Takeuchi,"Naruto the Movie 3: Guardians of the Crescent Moon Kingdom | Exuberant ninja Naruto teams up with his pals Sakura and Kakashi to escort Prince Michiru and his son, Hikaru, to the Crescent Moon kingdom. | Action & Adventure|Anime Features|International Movies | Toshiyuki Tsuru | Junko Takeuchi | Japan"
Naruto the Movie: Ninja Clash in the Land of Snow,s64,Movie,2004,Japan,Action & Adventure|Anime Features|International Movies,TV-PG,2021-09-15,2021,9,Tensai Okamura,Junko Takeuchi,"Naruto the Movie: Ninja Clash in the Land of Snow | Naruto, Sasuke and Sakura learn they'll be protecting an actress from being hurt while making her next film, but it turns out she's a princess. | Action & Adventure|Anime Features|International Movies | Tensai Okamura | Junko Takeuchi | Japan"
Nightbooks,s65,Movie,2021,Unknown,Children & Family Movies,TV-PG,2021-09-15,2021,9,David Yarovesky,Winslow Fegley,Nightbooks | Scary story fan Alex must tell a spine-tingling tale every night ��� or stay trapped with his new friend in a wicked witch's magical apartment forever. | Children & Family Movies | David Yarovesky | Winslow Fegley | Unknown
Numberblocks,s66,Tv Show,2021,United Kingdom,Kids' TV,TV-Y,2021-09-15,2021,9,,Beth Chalmers,"Numberblocks | In a place called Numberland, math adds up to tons of fun when a group of cheerful blocks work, play and sing together. | Kids' TV | Beth Chalmers | United Kingdom"
Raja Rasoi Aur Anya Kahaniyan,s67,Tv Show,2014,India,Docuseries|International TV Shows,TV-G,2021-09-15,2021,9,,,"Raja Rasoi Aur Anya Kahaniyan | Explore the history and flavors of regional Indian cuisine, from traditional Kashmiri feasts to the vegetarian dishes of Gujarat. | Docuseries|International TV Shows | India"
Saved by the Bell,s68,Tv Show,1994,United States,Kids' TV|TV Comedies,TV-PG,2021-09-15,2021,9,,Mark-Paul Gosselaar,"Saved by the Bell | From middle school to college, best friends Zack, Kelly, Slater, Jessie, Screech and Lisa take on the highs and lows of life together in this hit series. | Kids' TV|TV Comedies | Mark-Paul Gosselaar | United States"
Schumacher,s69,Movie,2021,Unknown,Documentaries|International Movies|Sports Movies,TV-14,2021-09-15,2021,9,Hanns-Bruno Kammert��ns,Michael Schumacher,"Schumacher | Through exclusive interviews and archival footage, this documentary traces an intimate portrait of seven-time Formula 1 champion Michael Schumacher. | Documentaries|International Movies|Sports Movies | Hanns-Bruno Kammert��ns | Michael Schumacher | Unknown"
Stories by Rabindranath Tagore,s70,Tv Show,2015,India,International TV Shows|TV Dramas,TV-PG,2021-09-15,2021,9,,,Stories by Rabindranath Tagore | The writings of Nobel Prize winner Rabindranath Tagore come to life in this collection of tales set in early-20th-century Bengal. | International TV Shows|TV Dramas | India
Too Hot To Handle: Latino,s71,Tv Show,2021,Unknown,International TV Shows|Reality TV|Romantic TV Shows,TV-MA,2021-09-15,2021,9,,Itat�� Cantoral,"Too Hot To Handle: Latino | On this reality show, singles from Latin America and Spain are challenged to give up sex. But here, abstinence comes with a silver lining: US$100,000. | International TV Shows|Reality TV|Romantic TV Shows | Itat�� Cantoral | Unknown"
A StoryBots Space Adventure,s72,Movie,2021,Unknown,Children & Family Movies,TV-Y,2021-09-14,2021,9,David A. Vargas,Evan Spiridellis,A StoryBots Space Adventure | Join the StoryBots and the space travelers of the historic Inspiration4 mission as they search for answers to kids' questions about space. | Children & Family Movies | David A. Vargas | Evan Spiridellis | Unknown
Jack Whitehall: Travels with My Father,s73,Tv Show,2021,United Kingdom,British TV Shows|Docuseries|International TV Shows,TV-MA,2021-09-14,2021,9,,Jack Whitehall,"Jack Whitehall: Travels with My Father | Jovial comic Jack Whitehall invites his stuffy father, Michael, to travel with him through Southeast Asia in an attempt to strengthen their bond. | British TV Shows|Docuseries|International TV Shows | Jack Whitehall | United Kingdom"
King of Boys,s74,Movie,2018,Nigeria,Dramas|International Movies,TV-MA,2021-09-14,2021,9,Kemi Adetiba,Sola Sobowale,"King of Boys | When a powerful businesswoman���s political ambitions are threatened by her underworld connections, the ensuing power struggle could cost her everything. | Dramas|International Movies | Kemi Adetiba | Sola Sobowale | Nigeria"
The World's Most Amazing Vacation Rentals,s75,Tv Show,2021,Unknown,Reality TV,TV-PG,2021-09-14,2021,9,,,"The World's Most Amazing Vacation Rentals | With an eye for every budget, three travelers visit vacation rentals around the globe and share their expert tips and tricks in this reality series. | Reality TV | Unknown"
You vs. Wild: Out Cold,s76,Movie,2021,Unknown,Children & Family Movies,TV-G,2021-09-14,2021,9,Ben Simms,Bear Grylls,"You vs. Wild: Out Cold | After a plane crash leaves Bear with amnesia, he must make choices to save the missing pilot and survive in this high-stakes interactive adventure. | Children & Family Movies | Ben Simms | Bear Grylls | Unknown"
Yowamushi Pedal,s77,Tv Show,2013,Japan,Anime Series|International TV Shows,TV-14,2021-09-14,2021,9,,Daiki Yamashita,"Yowamushi Pedal | A timid, anime-loving teen gets drawn into a school cycling club, where his new friends help him face tough challenges to develop his racing talent. | Anime Series|International TV Shows | Daiki Yamashita | Japan"
Little Singham - Black Shadow,s78,Movie,2021,Unknown,Children & Family Movies|Comedies,TV-Y7,2021-09-11,2021,9,Prakash Satam,Sumriddhi Shukla,Little Singham - Black Shadow | Kid cop Little Singham loses all his superpowers while trying to stop the demon Kaal���s new evil plans! Can his inner strength help him defeat the enemy? | Children & Family Movies|Comedies | Prakash Satam | Sumriddhi Shukla | Unknown
